"Step","LunarLander_with_labels_1000_good_reward - episode_reward","LunarLander_with_labels_1000_good_reward - episode_reward__MIN","LunarLander_with_labels_1000_good_reward - episode_reward__MAX"
"101","-172.77025134924412","-172.77025134924412","-172.77025134924412"
"102","31.580241231114485","31.580241231114485","31.580241231114485"
"103","-243.9607955487154","-243.9607955487154","-243.9607955487154"
"104","-353.6952217397859","-353.6952217397859","-353.6952217397859"
"105","-93.96791145365692","-93.96791145365692","-93.96791145365692"
"106","-110.49906188991689","-110.49906188991689","-110.49906188991689"
"107","-127.77742012199516","-127.77742012199516","-127.77742012199516"
"108","-400.5365200298703","-400.5365200298703","-400.5365200298703"
"109","-315.2630694991475","-315.2630694991475","-315.2630694991475"
"110","-77.76564505750473","-77.76564505750473","-77.76564505750473"
"111","-262.1151892355556","-262.1151892355556","-262.1151892355556"
"112","-128.90874613314867","-128.90874613314867","-128.90874613314867"
"113","-63.99051811173558","-63.99051811173558","-63.99051811173558"
"114","-89.60182767794191","-89.60182767794191","-89.60182767794191"
"115","-153.49290593257552","-153.49290593257552","-153.49290593257552"
"116","-294.6593383972844","-294.6593383972844","-294.6593383972844"
"117","-143.59288615763188","-143.59288615763188","-143.59288615763188"
"118","-318.26031802287036","-318.26031802287036","-318.26031802287036"
"119","-355.8970655809102","-355.8970655809102","-355.8970655809102"
"120","-121.7471071825822","-121.7471071825822","-121.7471071825822"
"121","-260.9238040641802","-260.9238040641802","-260.9238040641802"
"122","-234.71026597792255","-234.71026597792255","-234.71026597792255"
"123","-283.08907436689753","-283.08907436689753","-283.08907436689753"
"124","-371.1630144041777","-371.1630144041777","-371.1630144041777"
"125","-95.98483010246318","-95.98483010246318","-95.98483010246318"
"126","-258.46039291411887","-258.46039291411887","-258.46039291411887"
"127","-358.98149448371765","-358.98149448371765","-358.98149448371765"
"128","-260.3293774800003","-260.3293774800003","-260.3293774800003"
"129","-340.3803283250626","-340.3803283250626","-340.3803283250626"
"130","-62.40743767377386","-62.40743767377386","-62.40743767377386"
"131","-87.08671210378408","-87.08671210378408","-87.08671210378408"
"132","12.896417427360973","12.896417427360973","12.896417427360973"
"133","-279.4416596694528","-279.4416596694528","-279.4416596694528"
"134","-209.66149561044708","-209.66149561044708","-209.66149561044708"
"135","-255.8259261306249","-255.8259261306249","-255.8259261306249"
"136","-309.25808824501144","-309.25808824501144","-309.25808824501144"
"137","-121.48727659717201","-121.48727659717201","-121.48727659717201"
"138","-257.45244095680727","-257.45244095680727","-257.45244095680727"
"139","-357.74012161836026","-357.74012161836026","-357.74012161836026"
"140","-350.1775978188266","-350.1775978188266","-350.1775978188266"
"141","-57.977654217162694","-57.977654217162694","-57.977654217162694"
"142","-83.05892831424907","-83.05892831424907","-83.05892831424907"
"143","-119.28052738854663","-119.28052738854663","-119.28052738854663"
"144","-16.56881457427757","-16.56881457427757","-16.56881457427757"
"145","-291.32163394356417","-291.32163394356417","-291.32163394356417"
"146","3.0755106723410557","3.0755106723410557","3.0755106723410557"
"147","-294.93434811752525","-294.93434811752525","-294.93434811752525"
"148","-379.12631099570007","-379.12631099570007","-379.12631099570007"
"149","-400.69114804286113","-400.69114804286113","-400.69114804286113"
"150","-213.66551822968728","-213.66551822968728","-213.66551822968728"
